id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330059005,"Block Group 5, Census Tract 59, King County, Washington",1251,1120,20,0,10,0,0,101,16,85
1500000US530330060001,"Block Group 1, Census Tract 60, King County, Washington",1749,1415,0,0,239,0,14,81,0,81
1500000US530330060002,"Block Group 2, Census Tract 60, King County, Washington",1485,1259,29,0,84,0,9,104,4,100
1500000US530330060003,"Block Group 3, Census Tract 60, King County, Washington",1584,1249,17,62,60,0,18,178,0,178
1500000US530330060004,"Block Group 4, Census Tract 60, King County, Washington",1482,1176,94,0,125,0,16,71,0,71
1500000US530330061001,"Block Group 1, Census Tract 61, King County, Washington",1187,924,26,0,133,0,0,104,0,104
1500000US530330061002,"Block Group 2, Census Tract 61, King County, Washington",1081,867,39,0,161,0,0,14,0,14
1500000US530330061003,"Block Group 3, Census Tract 61, King County, Washington",1803,1355,0,0,284,0,0,164,0,164
1500000US530330061004,"Block Group 4, Census Tract 61, King County, Washington",1341,1140,0,0,140,0,17,44,0,44
1500000US530330062001,"Block Group 1, Census Tract 62, King County, Washington",1688,1361,40,0,157,0,70,60,0,60
